regret: 41	maxRegret: 336.88	weights: (0.116, 0.104, 0.130, 0.103, 0.103, 0.090, 0.090, 0.090, 0.083, 0.090)
regret: 41	maxRegret: 336.88	weights: (0.116, 0.104, 0.130, 0.103, 0.103, 0.090, 0.090, 0.090, 0.083, 0.090)
regret: 42	maxRegret: 337.00	weights: (0.116, 0.104, 0.130, 0.103, 0.103, 0.090, 0.090, 0.090, 0.083, 0.090)
regret: 43	maxRegret: 337.12	weights: (0.116, 0.104, 0.130, 0.103, 0.103, 0.090, 0.090, 0.090, 0.083, 0.090)
regret: 42	maxRegret: 337.12	weights: (0.115, 0.104, 0.129, 0.102, 0.102, 0.089, 0.089, 0.090, 0.083, 0.096)
regret: 42	maxRegret: 337.12	weights: (0.115, 0.104, 0.129, 0.102, 0.102, 0.089, 0.089, 0.090, 0.083, 0.096)
regret: 42	maxRegret: 337.24	weights: (0.114, 0.103, 0.128, 0.102, 0.102, 0.089, 0.088, 0.096, 0.082, 0.096)
regret: 42	maxRegret: 337.24	weights: (0.114, 0.103, 0.128, 0.102, 0.102, 0.089, 0.088, 0.096, 0.082, 0.096)
regret: 42	maxRegret: 337.36	weights: (0.113, 0.102, 0.128, 0.101, 0.108, 0.088, 0.088, 0.096, 0.082, 0.095)
regret: 42	maxRegret: 337.36	weights: (0.113, 0.102, 0.128, 0.101, 0.108, 0.088, 0.088, 0.096, 0.082, 0.095)
regret: 42	maxRegret: 337.36	weights: (0.113, 0.102, 0.128, 0.101, 0.108, 0.088, 0.088, 0.096, 0.082, 0.095)
regret: 43	maxRegret: 337.48	weights: (0.113, 0.102, 0.128, 0.101, 0.108, 0.088, 0.088, 0.096, 0.082, 0.095)
regret: 44	maxRegret: 337.60	weights: (0.113, 0.102, 0.128, 0.101, 0.108, 0.088, 0.088, 0.096, 0.082, 0.095)
regret: 44	maxRegret: 337.60	weights: (0.113, 0.102, 0.128, 0.101, 0.108, 0.088, 0.088, 0.096, 0.082, 0.095)
regret: 44	maxRegret: 337.60	weights: (0.113, 0.102, 0.128, 0.101, 0.108, 0.088, 0.088, 0.096, 0.082, 0.095)
regret: 45	maxRegret: 337.72	weights: (0.113, 0.102, 0.128, 0.101, 0.108, 0.088, 0.088, 0.096, 0.082, 0.095)
regret: 45	maxRegret: 337.72	weights: (0.113, 0.102, 0.128, 0.101, 0.108, 0.088, 0.088, 0.096, 0.082, 0.095)
regret: 45	maxRegret: 337.72	weights: (0.113, 0.102, 0.128, 0.101, 0.108, 0.088, 0.088, 0.096, 0.082, 0.095)
